,time_in,time_out,id,visit_time
0,2019-02-26 07:59:19,2019-02-26 08:00:10,0007AC8CF6,0 days 00:00:51.000000000
0,2019-02-26 07:59:53,2019-02-26 08:00:44,0007AC93ED,0 days 00:00:51.000000000
0,2019-02-26 07:59:53,2019-02-26 08:01:48,0007B117A4,0 days 00:01:55.000000000
0,2019-02-26 08:00:35,2019-02-26 08:02:28,0007AC7B4A,0 days 00:01:53.000000000
0,2019-02-26 08:01:22,2019-02-26 08:02:46,0007AC9031,0 days 00:01:24.000000000
0,2019-02-26 08:02:14,2019-02-26 08:02:31,0007AC403D,0 days 00:00:17.000000000
0,2019-02-26 08:40:26,2019-02-26 08:40:59,0007AC93ED,0 days 00:00:33.000000000
0,2019-02-26 08:49:08,2019-02-26 08:49:46,0007AC4333,0 days 00:00:38.000000000
0,2019-02-26 09:05:41,2019-02-26 09:05:46,0007AC403D,0 days 00:00:05.000000000
0,2019-02-26 09:06:09,2019-02-26 09:09:22,0007AC7B4A,0 days 00:03:13.000000000
0,2019-02-26 09:07:11,2019-02-26 09:07:30,0007AC93ED,0 days 00:00:19.000000000
0,2019-02-26 09:08:45,2019-02-26 09:10:29,0007AC8CF6,0 days 00:01:44.000000000
0,2019-02-26 09:09:15,2019-02-26 09:10:12,0007AC93ED,0 days 00:00:57.000000000
0,2019-02-26 09:11:48,2019-02-26 09:12:43,0007AC9031,0 days 00:00:55.000000000
0,2019-02-26 09:31:05,2019-02-26 09:31:05,00079D4F7C,0 days 00:00:00.000000000
0,2019-02-26 09:31:06,2019-02-26 09:32:32,00079D4F7C,0 days 00:01:26.000000000
0,2019-02-26 09:31:32,2019-02-26 09:31:48,0007AC403D,0 days 00:00:16.000000000
0,2019-02-26 09:56:24,2019-02-26 09:56:47,0007AC93ED,0 days 00:00:23.000000000
0,2019-02-26 10:13:42,2019-02-26 10:13:43,0007AC93ED,0 days 00:00:01.000000000
0,2019-02-26 10:18:18,2019-02-26 10:18:51,0007AC4333,0 days 00:00:33.000000000
0,2019-02-26 10:18:51,2019-02-26 10:19:04,0007AC403D,0 days 00:00:13.000000000
0,2019-02-26 10:18:52,2019-02-26 10:21:31,0007B117A4,0 days 00:02:39.000000000
0,2019-02-26 10:19:53,2019-02-26 10:20:22,0007AC93ED,0 days 00:00:29.000000000
0,2019-02-26 10:20:37,2019-02-26 10:20:39,0007AC93ED,0 days 00:00:02.000000000
0,2019-02-26 10:22:07,2019-02-26 10:22:53,0007AC9031,0 days 00:00:46.000000000
